Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2013/14,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,62
2013/14,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,50
2013/14,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,78
2013/14,The Education University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,3
2013/14,The Education University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,2
2013/14,The Education University of Hong Kong,Sub-degree,FT employment,Agriculture and Fishery Workers,1
2013/14,The Education University of Hong Kong,Sub-degree,FT employment,Business Professionals,1
2013/14,The Education University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,1
2013/14,The Education University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2013/14,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,238
2013/14,The Education University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,3
2013/14,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,5
2013/14,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,1
2013/14,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,26
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,3
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,Managers,1
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,Occupations not elsewhere classified,1
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,System Analysts and Computer Programmers,1
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,126
2013/14,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,1
2013/14,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,4
2013/14,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,5
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,1
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,2
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Artists,3
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,7
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,40
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,16
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),2
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,1
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Managers,4
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,3
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,1
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Other Service Workers,4
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,3
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,10
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,2
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,525
2013/14,The Education University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,10
2013/14,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,63
2013/14,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,8
2013/14,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,40
2013/14,The Education University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,7
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,6
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,21
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineering Technicians,1
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,6
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Medical and Health Workers,1
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Physical and Life Science Technicians,1
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,System Analysts and Computer Programmers,2
2013/14,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,6
2013/14,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,8
2013/14,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,3
2013/14,The Hong Kong Polytechnic University,Research postgraduate,Underemployed,Not in Full-time Employment,2
2013/14,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,3
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Aircraft and Ship Officers,1
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,34
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Artists,22
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Authors | Journalists and Related Writers,1
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,64
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Clerical and Related Workers,1
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,15
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,38
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Insurance | Real Estate | and Business Services,3
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,17
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,7
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,4
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Scientists,1
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Protective Service Workers,2
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Religious Workers,1
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Sales/Service Workers,11
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,6
2013/14,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,5
2013/14,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,736
2013/14,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,6
2013/14,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,33
2013/14,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,19
2013/14,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,2
2013/14,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Teaching Profession,1
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,164
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Aircraft and Ship Officers,4
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,133
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,171
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Authors | Journalists and Related Writers,16
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,659
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,7
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,52
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,4
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,423
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),2
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,51
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,1
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,405
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,72
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,70
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,51
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,6
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Production and Related Workers,6
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,8
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,49
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,174
2013/14,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,43
2013/14,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,140
2013/14,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,35
2013/14,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,97
2013/14,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,98
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,15
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Clerical and Related Workers,1
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,16
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Medical and Health Workers,1
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,2
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,13
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,129
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,9
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,69
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,69
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,3
2013/14,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,12
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,166
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,7
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Architects and Surveyors,5
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Artists,5
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Authors | Journalists and Related Writers,13
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,509
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,37
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,27
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,11
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,292
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),10
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,37
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Legal Workers,1
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,48
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,14
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,7
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,18
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,13
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Production and Related Workers,4
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,15
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Religious Workers,1
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,16
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,234
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,106
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,63
2013/14,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,20
2013/14,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,256
2013/14,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,60
2013/14,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,18
2013/14,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,18
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,2
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,18
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,5
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,5
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Engineers,13
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Managers,3
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,10
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,3
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,17
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,8
2013/14,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,4
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,147
2013/14,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,68
2013/14,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,57
2013/14,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,25
2013/14,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,27
2013/14,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,5
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,68
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Artists,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Authors | Journalists and Related Writers,2
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Engineering Technicians,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Engineers,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,74
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Managers,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,19
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,19
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Physical and Life Scientists,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Sales/Service Workers,1
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,78
2013/14,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,51
2013/14,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,15
2013/14,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,7
2013/14,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,9
2013/14,The University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,2
2013/14,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,119
2013/14,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,7
2013/14,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,74
2013/14,The University of Hong Kong,Undergraduate,FT employment,Artists,8
2013/14,The University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,70
2013/14,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,446
2013/14,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,29
2013/14,The University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,55
2013/14,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,12
2013/14,The University of Hong Kong,Undergraduate,FT employment,Engineers,207
2013/14,The University of Hong Kong,Undergraduate,FT employment,Government Administrators and Diplomats,1
2013/14,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),21
2013/14,The University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,13
2013/14,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,10
2013/14,The University of Hong Kong,Undergraduate,FT employment,Managers,46
2013/14,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,381
2013/14,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,57
2013/14,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,7
2013/14,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,11
2013/14,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,27
2013/14,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,15
2013/14,The University of Hong Kong,Undergraduate,FT employment,Religious Workers,2
2013/14,The University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,28
""
2013/14,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,64
2013/14,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,174
2013/14,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,264
2013/14,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,533
2013/14,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,51
2013/14,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,98
2013/14,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,9
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Business Professionals,2
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,3
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Engineers,7
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,1
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,3
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,47
2014/15,City University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,17
2014/15,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,1
2014/15,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,15
2014/15,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,5
2014/15,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,4
2014/15,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,55
2014/15,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,2
2014/15,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,17
2014/15,City University of Hong Kong,Sub-degree,FT employment,Engineers,15
2014/15,City University of Hong Kong,Sub-degree,FT employment,Government Officials (General Grades),1
2014/15,City University of Hong Kong,Sub-degree,FT employment,Insurance | Real Estate | and Business Services,1
2014/15,City University of Hong Kong,Sub-degree,FT employment,Managers,2
2014/15,City University of Hong Kong,Sub-degree,FT employment,Other Service Workers,1
2014/15,City University of Hong Kong,Sub-degree,FT employment,Production and Related Workers,19
2014/15,City University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,4
2014/15,City University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,9
2014/15,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,190
2014/15,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,1
2014/15,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,10
2014/15,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,4
2014/15,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,31
2014/15,City University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,6
2014/15,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,1
2014/15,City University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2014/15,City University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,1
2014/15,City University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2014/15,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,181
2014/15,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,2
2014/15,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,7
2014/15,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,80
2014/15,City University of Hong Kong,Undergraduate,FT employment,Artists,41
2014/15,City University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,59
2014/15,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,640
2014/15,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,81
2014/15,City University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,25
2014/15,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,21
2014/15,City University of Hong Kong,Undergraduate,FT employment,Engineers,202
2014/15,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),8
2014/15,City University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,27
2014/15,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,10
2014/15,City University of Hong Kong,Undergraduate,FT employment,Managers,66
2014/15,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,8
2014/15,City University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,1
2014/15,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,69
2014/15,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,16
2014/15,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,17
2014/15,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,6
2014/15,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,2
2014/15,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,14
2014/15,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,49
2014/15,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,245
2014/15,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,151
2014/15,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,162
2014/15,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,196
2014/15,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,55
2014/15,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,122
2014/15,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,49
2014/15,Hong Kong Baptist University,Research postgraduate,FT employment,Engineering Technicians,1
2014/15,Hong Kong Baptist University,Research postgraduate,FT employment,Medical and Health Workers,1
2014/15,Hong Kong Baptist University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2014/15,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Scientists,1
2014/15,Hong Kong Baptist University,Research postgraduate,FT employment,Production and Related Workers,1
2014/15,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,19
2014/15,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,9
2014/15,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,14
2014/15,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,3
2014/15,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
2014/15,Hong Kong Baptist University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
2014/15,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,8
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,65
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Architects and Surveyors,3
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Artists,46
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Authors | Journalists and Related Writers,107
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,466
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,35
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,8
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,11
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,14
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),22
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,5
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,2
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Managers,26
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,34
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,2
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,104
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,11
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,7
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,5
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Production and Related Workers,1
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,3
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,45
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,60
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,213
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,37
2014/15,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2014/15,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,185
2014/15,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,21
2014/15,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,55
2014/15,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,5
2014/15,Lingnan University,Research postgraduate,FT employment,Business Professionals,3
2014/15,Lingnan University,Research postgraduate,FT employment,Government Officials (General Grades),2
2014/15,Lingnan University,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2014/15,Lingnan University,Research postgraduate,FT employment,Teaching Profession,3
